line_no,p,B_size,B,trace_depth,state_label,span,i,j,initial_E,initial_P,initial_L,status,escape_depth,path,final_E,final_P,final_L,final_phi,nodes,best_phi,best_depth
1,31,3,1 3 9,3,after_2,2,17,19,1,1,2,escaped,1,"(16,2,18)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
2,31,3,1 3 27,3,after_2,12,10,22,1,1,12,escaped,1,"(7,1,10)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
3,31,3,1 9 27,3,after_2,11,7,18,1,1,11,escaped,1,"(6,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
5,31,3,1 9 19,4,after_3,20,7,27,1,1,20,escaped,1,"(1,1,25)",1,1,16,"(1, 1, 16)",1,"(1, 1, 16)",1
6,31,3,1 19 27,3,after_2,5,12,17,1,1,5,escaped,1,"(11,1,12)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7,31,3,1 3 26,3,after_2,14,11,25,1,1,14,escaped,1,"(10,1,11)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
8,31,3,1 9 26,3,after_2,14,2,16,1,1,14,escaped,1,"(0,1,2)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
10,31,3,1 19 26,3,after_2,19,4,23,1,1,19,escaped,1,"(3,1,4)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
12,31,3,1 9 16,3,after_2,5,8,13,1,1,5,escaped,1,"(4,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
13,31,3,1 16 27,3,after_2,23,3,26,1,1,23,escaped,1,"(0,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
15,31,3,1 16 26,3,after_2,10,8,18,1,1,10,escaped,1,"(7,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
16,31,3,1 3 17,3,after_1,12,9,21,1,1,12,escaped,1,"(7,1,9)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
16,31,3,1 3 17,3,after_2,12,9,21,1,1,12,escaped,1,"(7,1,9)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
17,31,3,1 9 17,3,after_2,10,17,27,1,1,10,escaped,2,"(16,1,17);(6,1,3)",1,1,8,"(1, 1, 8)",2,"(1, 1, 8)",2
18,31,3,1 17 27,3,after_2,14,10,24,1,1,14,escaped,1,"(9,1,10)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
20,31,3,1 17 26,3,after_2,25,1,26,1,1,25,escaped,1,"(0,1,1)",1,1,22,"(1, 1, 22)",1,"(1, 1, 22)",1
21,31,3,1 16 17,3,after_2,12,6,18,1,1,12,escaped,1,"(5,1,6)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
22,31,3,1 3 20,3,after_2,13,8,21,1,1,13,escaped,1,"(4,1,8)",1,1,11,"(1, 1, 11)",1,"(1, 1, 11)",1
24,31,3,1 20 27,3,after_2,6,11,17,1,1,6,escaped,1,"(16,1,17)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
26,31,3,1 20 26,3,after_2,14,5,19,1,1,14,escaped,1,"(4,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
27,31,3,1 16 20,3,after_2,5,11,16,1,1,5,escaped,1,"(9,1,11)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
28,31,3,1 17 20,3,after_2,8,11,19,1,1,8,escaped,1,"(9,1,11)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
29,31,3,1 3 29,3,after_2,24,3,27,1,1,24,escaped,1,"(0,1,25)",1,1,19,"(1, 1, 19)",1,"(1, 1, 19)",1
30,31,3,1 9 29,3,after_2,18,8,26,1,1,18,escaped,1,"(6,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
31,31,3,1 27 29,3,after_2,7,9,16,1,1,7,escaped,1,"(7,1,9)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
32,31,3,1 19 29,3,after_2,7,16,23,1,1,7,escaped,1,"(18,1,15)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
34,31,3,1 16 29,3,after_2,8,17,25,1,1,8,escaped,1,"(16,1,17)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
35,31,3,1 17 29,3,after_1,8,18,26,1,1,8,escaped,1,"(17,1,18)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
35,31,3,1 17 29,3,after_2,8,18,26,1,1,8,escaped,1,"(17,1,18)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
36,31,3,1 20 29,3,after_2,5,22,27,1,1,5,escaped,2,"(21,1,22);(7,1,9)",1,1,3,"(1, 1, 3)",2,"(1, 1, 3)",2
37,31,3,1 3 25,3,after_2,25,1,26,1,1,25,escaped,1,"(0,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
38,31,3,1 9 25,2,after_1,6,18,24,1,1,6,escaped,1,"(17,1,18)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
41,31,3,1 25 26,3,after_2,8,10,18,1,1,8,escaped,1,"(9,1,10)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
42,31,3,1 16 25,3,after_2,6,18,24,1,1,6,escaped,1,"(17,1,18)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
43,31,3,1 17 25,3,after_2,18,9,27,1,1,18,escaped,1,"(7,1,9)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
44,31,3,1 20 25,2,after_1,6,19,25,1,1,6,escaped,1,"(17,1,19)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
45,31,3,1 25 29,3,after_2,24,3,27,1,1,24,escaped,1,"(2,1,3)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
46,31,3,1 3 13,2,after_1,12,9,21,1,1,12,escaped,1,"(7,1,9)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
48,31,3,1 13 27,3,after_2,6,10,16,1,1,6,escaped,1,"(15,1,16)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
49,31,3,1 13 19,3,after_2,19,7,26,1,1,19,escaped,1,"(5,1,7)",1,1,16,"(1, 1, 16)",1,"(1, 1, 16)",1
51,31,3,1 13 16,3,after_2,6,13,19,1,1,6,escaped,1,"(12,1,13)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
52,31,3,1 13 17,3,after_1,12,8,20,1,1,12,escaped,1,"(6,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
52,31,3,1 13 17,3,after_2,12,8,20,1,1,12,escaped,1,"(6,1,8)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
54,31,3,1 13 29,3,after_1,8,18,26,1,1,8,escaped,1,"(17,1,18)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
54,31,3,1 13 29,3,after_2,8,18,26,1,1,8,escaped,1,"(17,1,18)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
55,31,3,1 13 25,2,after_1,6,18,24,1,1,6,escaped,1,"(17,1,18)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
56,31,3,1 3 8,3,after_2,7,10,17,1,1,7,escaped,1,"(13,1,17)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
57,31,3,1 8 9,3,after_2,7,11,18,1,1,7,escaped,1,"(10,1,11)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
59,31,3,1 8 19,3,after_2,19,7,26,1,1,19,escaped,1,"(1,1,21)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
