mode,p,k,universe_count,trace_unique_projected,present,missing,extra,trace_raw_unique,trace_lines,duplicate_projected_lines,coverage_fraction
contains_one,29,3,351,117,117,234,0,117,117,0,0.33333333
contains_one,29,4,2925,735,735,2190,0,735,735,0,0.25128205
contains_one,29,5,17550,3510,3510,14040,0,3510,3510,0,0.20000000
contains_one,29,6,80730,13468,13468,67262,0,13468,13468,0,0.16682770
contains_one,29,7,296010,42288,42288,253722,0,42288,42288,0,0.14286004
contains_one,31,3,406,136,136,270,0,136,136,0,0.33497537
contains_one,31,4,3654,917,917,2737,0,917,917,0,0.25095785
contains_one,31,5,23751,4751,4751,19000,0,4751,4751,0,0.20003368
contains_one,31,6,118755,19811,19811,98944,0,19811,19811,0,0.16682245
canonical_scaling,29,3,117,117,117,0,0,117,117,0,1.00000000
canonical_scaling,29,4,735,735,735,0,0,735,735,0,1.00000000
canonical_scaling,29,5,3510,3510,3510,0,0,3510,3510,0,1.00000000
canonical_scaling,29,6,13468,13468,13468,0,0,13468,13468,0,1.00000000
canonical_scaling,29,7,42288,42288,42288,0,0,42288,42288,0,1.00000000
canonical_scaling,31,3,136,136,136,0,0,136,136,0,1.00000000
canonical_scaling,31,4,917,917,917,0,0,917,917,0,1.00000000
canonical_scaling,31,5,4751,4751,4751,0,0,4751,4751,0,1.00000000
canonical_scaling,31,6,19811,19811,19811,0,0,19811,19811,0,1.00000000
