p,b,domain,filename,full_path,size_bytes,size_mib,sha256,line_count,expected_canonical,line_count_status,artifact_availability,verification_status
23,5,23:5,p23_b5_to_b9_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p23_b5_to_b9_witness_traces.jsonl,13271772,12.657,8450a41c6d8176c3366cf1dde632a0a953f065948984cb453579a1a24a0faa41,49508,,UNKNOWN_EXPECTED,local_pc,previously_generated_and_verified_by_local_workflow
29,8,29:8,p29_b8_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p29_b8_witness_traces.jsonl,37659873,35.915,db1fa613a0dc0e538d2310514bb21dd05d29eac40dfd25bb55133661e52511ea,111041,111041,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
29,9,29:9,p29_b9_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p29_b9_witness_traces.jsonl,82362595,78.547,5c21d9b6d263f50f86276dd54d5b26858c58acbef67a8e7ba7d0e76cfa667740,246675,246675,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
29,10,29:10,p29_b10_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p29_b10_witness_traces.jsonl,154040125,146.904,e4e6fd83edd567354ab824ab24eea240b3a4244cf1d261402e023b5f2c8e6fd5,468754,468754,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
29,11,29:11,p29_b11_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p29_b11_witness_traces.jsonl,247983900,236.496,9abcb8c336d4baba0ff8908f91ec9ba267e7883542558097b7c32c92cb2b285a,766935,766935,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
29,12,29:12,p29_b12_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p29_b12_witness_traces.jsonl,345613619,329.603,df336b98b2549e039b8fe450a48f5bc67674db6727322b77fdf186b0bc864094,1086601,1086601,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
29,13,29:13,p29_b13_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p29_b13_witness_traces.jsonl,418271140,398.894,088a104112c49db7caf6b9b1af9e9ff1bb87a8e4eeda7dce69e1094c22953a99,1337220,1337220,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
29,14,29:14,p29_b14_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p29_b14_witness_traces.jsonl,440625474,420.213,5fa3c39b0216d121308f898dbba19ca5de6040b0d37c3345852ef0b3cea1bfcf,1432860,1432860,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
29,15,29:15,p29_b15_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p29_b15_witness_traces.jsonl,404156989,385.434,93b3b9f5411e1f5ca9728d2e8c7c52108252b79ed98c0a6aa9f3f840b9f14fc1,1337220,1337220,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
31,7,31:7,p31_b7_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p31_b7_witness_traces.jsonl,24980712,23.823,5cbd4b88bd94e4f1a643596d0e55fa42244c644e5788c6659a132775d91e6fad,67860,67860,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
31,8,31:8,p31_b8_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p31_b8_witness_traces.jsonl,70798125,67.518,a4f5338521e6815b305bf2eca623d75aaf0b7c5ff37cbce7348aa72d41387e59,195143,195143,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
31,9,31:9,p31_b9_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p31_b9_witness_traces.jsonl,170492035,162.594,00bf8827f96bbcff0c07ff1aaf3e8ccba8b96f8e58322528d7f4cdf3ccf06637,476913,476913,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
31,10,31:10,p31_b10_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p31_b10_witness_traces.jsonl,352744854,336.404,93fe86ab9940796e137e8941585a50a6e58402fcb7737c31d87f9fc90fc9bcf7,1001603,1001603,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
31,11,31:11,p31_b11_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p31_b11_witness_traces.jsonl,631599001,602.34,1e7c8ebcbbe251706fe836d29631a4c694e8101e9ff7c7a8781124c993547d8f,1820910,1820910,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
31,12,31:12,p31_b12_witness_traces.jsonl,C:\Users\User1\Downloads\erdos\p31_b12_witness_traces.jsonl,984754770,939.135,e490dcbec319ee120345661ce126159b46ecb5d2a8002e6ccb165a16ffbc8366,2883289,2883289,PASS_LINE_COUNT,local_pc,previously_generated_and_verified_by_local_workflow
